
# Run: Patrons=80, Scheduler=FCFS, Quantum=N/A, Switch=3, Seed=101
PatronID,ResponseTime,TotalWaitingTime,TurnaroundTime
55,7058,19465,20284
31,9058,20981,21537
66,3182,19206,19988
35,9566,21045,21701
74,7885,19212,19932
38,1866,21130,21782
77,3869,19220,20032
40,1926,21343,21893
46,2177,21096,21759
47,2219,21210,21795
63,3091,20267,21015
68,11821,20136,20884
72,3481,20095,20737
75,3753,19913,20629
43,6424,21687,22375
79,12502,20064,20706
41,1949,22092,22665
78,12191,20477,21026
65,3074,21327,21749

# Run: Patrons=80, Scheduler=FCFS, Quantum=N/A, Switch=3, Seed=104
PatronID,ResponseTime,TotalWaitingTime,TurnaroundTime
0,76,5565,6333
1,73,6232,7005
2,53,6826,7665
3,207,8352,9265
4,223,9404,10353
6,258,10368,10789
5,253,10209,10868
7,305,12502,13155
10,354,13752,14557
8,336,14096,14766
9,317,14089,15011
11,433,14825,15481
12,564,15708,16320
13,687,16091,16883
14,666,16237,17011
16,731,16719,17237
15,688,16521,17288
17,808,17305,18042
18,1057,18184,18914
19,1182,18324,18999
20,1193,18278,19104
21,1346,18184,19241
22,1399,18761,19442
23,1390,18712,19594
26,1482,18865,19609
24,1469,19000,19926
25,1447,19120,20018
29,1491,19318,19890
28,1518,19369,20133
27,1523,19451,20343
30,1567,19700,20443
32,1765,19952,20678
31,1753,19860,20782
33,1833,20047,20953
34,1955,20449,21273
35,2110,20461,21378
36,2158,20684,21543
37,2182,20695,21547
38,2250,20872,21516
40,2380,20747,21491
39,2403,20757,21617
42,2506,20680,21539
43,2614,20833,21502
41,2404,20901,21688
45,2738,20858,21600
44,2638,20703,21755
46,2807,21089,21680
49,3126,21153,21548
47,2888,21084,21742
51,3258,20958,21551
48,3044,20863,21756
52,3291,21060,21703
50,3278,20874,21821
54,3616,20967,21631
53,3344,20904,21770
55,3645,20885,21688
56,3717,20764,21691
57,4013,21005,21684
58,4119,20858,21711
59,4157,20863,21774
61,4207,21021,21712
63,4331,20979,21629
60,4189,21024,21783
62,4214,20961,21809
65,4526,21187,21695
67,4593,20905,21636
64,4349,20933,21825
66,4567,21329,21767
68,4606,20834,21805
73,5029,20986,21580
70,4799,21140,21740
76,5165,20998,21546
69,4692,21025,21903
71,4818,21047,21856
72,4875,20936,21829
74,5084,21007,21821
75,5146,20928,21795
79,5226,20942,21654
77,5143,20960,21772
78,5246,20868,21786

# Run: Patrons=80, Scheduler=SJF, Quantum=N/A, Switch=3, Seed=104
PatronID,ResponseTime,TotalWaitingTime,TurnaroundTime
7,686,1392,1986
40,38,177,828
29,63,1407,2206
2,53,3240,4036
3,207,3323,4030
21,36,3597,4110
77,28,722,1337
4,4426,4546,5308
54,111,2555,3136
14,69,4974,5771
66,2452,2558,3197
50,795,3312,4003
55,2358,3280,4081
1,74,6199,7072
47,129,4624,5367
30,5546,5748,6561
49,4447,5306,6283
73,4559,4611,5331
65,72,5267,6173
32,39,7064,7879
67,48,5543,6233
78,49,5304,6137
33,71,7802,8705
46,96,7862,8371
74,57,6490,7082
37,67,8463,8988
25,9073,9239,9817
43,7942,8335,9133
28,2274,9316,10101
45,7303,8712,9455
57,67,8454,9334
76,106,7746,8644
19,32,11058,11766
72,8585,8838,9476
12,4123,12335,12986
53,10039,10304,10944
36,10138,11032,11939
61,9845,10103,10726
17,45,12732,13498
27,80,12208,13121
6,104,13482,14268
62,48,10625,11505
56,291,11225,12157
15,13984,14288,15214
38,2560,13276,14107
26,14133,14263,14888
71,4738,12007,12715
70,10268,12037,12893
69,11769,12302,13198
0,76,15896,16859
34,6098,14780,15575
31,60,14915,15818
48,7771,14957,15695
5,131,17223,17908
58,14063,14527,15366
9,37,17323,17961
79,28,14490,15150
35,4829,16559,17433
16,51,18073,19036
68,27,15719,16620
51,194,16852,17730
24,178,18348,19194
20,64,19176,19710
13,46,19924,20566
42,26,18744,19348
60,28,18127,18813
23,184,20090,20911
10,40,20948,21635
63,2383,18316,19087
59,49,19131,19969
8,63,21750,22702
75,2104,18828,19700
39,12681,21163,21988
64,8108,20280,21094
22,730,22439,23214
44,366,21558,22333
11,6206,23715,24564
18,53,23995,24598
52,1746,22131,22980
41,157,22717,23635

# Run: Patrons=80, Scheduler=RR, Quantum=75, Switch=3, Seed=104
PatronID,ResponseTime,TotalWaitingTime,TurnaroundTime
0,76,2457,3204
2,47,3741,4295
1,68,4016,4651
4,157,7503,8304
3,599,9898,10488
9,328,11205,12028
12,551,12145,12899
14,627,12754,13475
8,296,13777,14457
5,210,15047,15511
18,866,14535,15166
20,1005,15408,16181
29,1208,16217,16773
28,1190,16172,16897
7,262,17261,17968
15,650,17126,17721
16,2067,17203,17892
34,1583,16840,17721
36,1629,17066,17681
19,2758,18311,19153
41,1910,17603,18294
40,1932,17753,18619
44,2266,17889,18618
46,2406,17890,18537
23,1081,19050,19761
45,2289,17939,18832
47,2517,18063,18838
13,570,20066,20624
49,2602,18120,18906
6,258,20484,21152
51,2791,18236,19095
30,1241,19684,20213
52,2873,18316,19132
55,3105,18367,19061
57,3265,18254,19111
31,1288,19727,20464
58,3303,18326,19213
60,3353,18427,19229
62,3402,18664,19252
32,1488,20095,20903
65,3554,18870,19474
35,5179,20396,21045
69,3691,18730,19350
68,3663,18781,19479
70,3699,18783,19437
37,1686,20529,21272
72,3780,18888,19537
77,4002,18887,19614
79,4230,18876,19730
42,2061,21067,21687
11,448,22802,23331
24,1083,22111,22690
22,1058,22258,22843
27,1177,22277,22739
48,6588,20959,21716
25,1107,22158,22956
53,2887,20989,21673
59,3336,20714,21460
33,1491,22373,22882
17,5936,23209,23749
67,3547,20966,21460
73,3758,20469,21167
38,1779,22217,22940
74,3884,20324,21235
76,8199,20455,21232
39,1875,22425,23147
10,1340,23905,24616
78,4099,20589,21249
50,10631,22103,22683
21,7216,23488,24192
61,3389,21787,22353
56,3163,21931,22613
54,3038,22246,22827
75,12344,21187,21852
63,3454,21813,22457
71,8058,21431,22135
43,2243,23102,23660
66,3573,22157,22589
64,11832,21971,22708
26,1179,24071,24677

# Run: Patrons=80, Scheduler=FCFS, Quantum=N/A, Switch=3, Seed=105
PatronID,ResponseTime,TotalWaitingTime,TurnaroundTime
2,53,1937,2359
3,27,2020,2539
0,77,2742,3569
1,79,4412,5076
4,64,4974,5390
6,90,6966,7705
5,87,8507,9399
7,207,10880,11767
8,313,12227,13074
9,524,13477,13952
10,678,13420,14057
11,700,14086,14502
12,723,14168,14863
13,726,14290,14910
14,849,14591,15275
15,828,14789,15341
16,832,14924,15608
17,875,15338,16210
19,985,15878,16349
18,966,15775,16563
20,1083,16268,16958
21,1057,16153,16923
22,1035,16312,16902
23,1043,16105,16860
24,1101,16345,17213
26,1215,16701,17223
25,1137,16474,17302
27,1209,16559,17467
28,1326,16831,17441
29,1373,16819,17564
30,1376,17161,17856
31,1395,17258,18014
32,1469,17475,18280
33,1477,17596,18382
35,1527,17881,18354
34,1480,17824,18427
36,1506,17925,18687
38,1610,18133,18748
37,1564,18044,18831
40,1894,18444,18974
39,1868,18270,19091
41,1918,18301,19173
42,1947,18429,19202
43,2000,18614,19201
44,2048,18472,19274
45,2191,18467,19233
46,2418,18441,19327
49,2557,18716,19188
47,2470,18503,19382
50,2734,18782,19350
48,2578,18856,19629
51,2798,18823,19498
53,2779,18987,19471
54,2862,18803,19442
52,2777,18891,19550
55,2859,19102,19452
56,2908,18786,19526
57,3039,18690,19504
59,3167,18816,19412
62,3654,18843,19387
58,3147,18619,19606
63,3713,18749,19388
60,3453,18706,19610
61,3431,18731,19612
66,4028,18599,19365
64,3715,18647,19514
65,3998,18526,19538
67,4315,18582,19470
68,4348,18683,19514
71,4900,18850,19383
69,4380,18725,19542
70,4463,18830,19626
72,4973,19019,19740
73,4966,19122,19794
74,4940,19224,19791
76,4976,19083,19762
75,4982,19044,19905
78,5155,19163,19824
77,5073,19291,19919
79,5309,19077,19858

# Run: Patrons=80, Scheduler=SJF, Quantum=N/A, Switch=3, Seed=105
PatronID,ResponseTime,TotalWaitingTime,TurnaroundTime
3,50,174,596
7,42,191,841
5,185,455,1030
8,93,456,1209
18,83,366,1068
6,39,1822,2214
58,137,583,973
65,67,201,826
72,101,231,979
70,26,721,1184
9,167,4250,4759
20,68,3870,4461
42,3239,3261,3997
19,200,4596,5187
73,456,2264,2983
54,81,3295,3977
10,40,6076,6711
49,85,4331,4952
37,126,4856,5769
43,38,4897,5636
61,244,4008,4753
71,107,3964,4600
15,54,6966,7531
16,5419,7134,7596
74,4525,4674,5217
59,151,5426,6223
62,24,5745,6374
75,438,5391,5943
34,82,7541,8171
41,6542,7052,7844
23,3883,8107,8825
2,46,9455,10034
50,64,7360,8041
40,2539,8057,8799
33,7453,8972,9383
28,436,8903,9664
24,29,9468,10092
26,30,9615,10118
32,34,9456,10083
29,9167,9405,10251
25,9625,9747,10529
67,2480,7915,8657
53,78,8855,9593
48,38,9389,10221
79,7541,8281,9000
38,6838,10436,11159
17,5928,11356,12277
13,1421,12400,13012
68,75,9629,10426
39,53,11083,11906
69,8990,9823,10527
46,11179,11385,12077
56,10868,10997,11796
77,42,10428,11264
45,38,12871,13513
4,58,14770,15621
21,13534,14049,14970
12,5304,15328,16037
78,352,12167,12925
35,7943,14343,15110
44,41,14179,14788
30,230,15565,16400
60,14040,14340,15005
66,14240,14478,15409
47,156,15669,16487
63,90,15264,15983
1,72,18985,19694
64,2069,15832,16719
11,38,18819,19472
14,32,19250,19901
36,108,18120,19012
52,76,17615,18394
57,52,17893,18649
76,10311,17228,18027
27,77,20064,20704
55,60,18659,19495
22,1533,20959,21871
0,76,22251,23199
31,13728,21238,22154
51,20505,20506,21250

# Run: Patrons=80, Scheduler=RR, Quantum=75, Switch=3, Seed=105
PatronID,ResponseTime,TotalWaitingTime,TurnaroundTime
2,43,555,972
0,76,2449,3311
1,69,2805,3455
4,56,3493,4047
6,110,6918,7576
3,49,8116,8578
9,373,10803,11782
12,447,11171,11982
5,79,12575,12948
14,577,12064,12755
15,554,12363,12929
16,638,12455,13141
17,680,12883,13335
21,998,14272,14901
22,979,14364,15005
23,1054,14703,15275
25,1153,14659,15295
27,1196,14755,15345
26,1148,14661,15489
28,1269,14977,15544
30,1289,14907,15475
29,1316,14992,15743
32,1329,15202,16059
10,2671,16818,17166
34,1419,15594,16299
36,1497,15630,16231
37,1526,15653,16385
11,422,17463,17823
39,1553,15819,16433
41,1662,16186,16612
45,1986,16615,17332
7,197,18565,19299
46,2008,16593,17351
50,2394,16481,17182
51,2423,16511,17156
48,2240,16448,17308
49,2364,16604,17285
55,2570,16723,17160
56,2697,16564,17218
8,286,19203,19910
18,728,19068,19417
59,2933,16576,17413
63,3118,16785,17361
62,3125,16783,17433
65,3278,16654,17403
35,1520,18380,18980
68,3474,16705,17462
19,871,19360,19992
69,3452,16744,17663
70,3520,16817,17622
72,3805,16912,17625
76,3958,17149,17884
43,1817,18872,19599
79,4007,17110,17804
47,2080,19038,19535
13,449,20623,21249
24,1072,20056,20738
53,2545,18846,19490
58,6757,18623,19268
54,6622,18725,19477
61,2963,18691,19278
31,1336,20162,20848
33,1386,20397,20854
64,3253,18578,19431
38,1579,20249,20763
42,1636,20335,20683
20,1021,21353,21966
44,1887,20333,20806
78,4029,18524,19125
52,2542,19935,20541
57,6735,19678,20429
71,3617,19378,19924
73,3825,19284,19887
67,11135,19472,20203
40,9531,21150,21701
75,3964,19333,20105
